,fecha,nombre_completo,estado,temperatura,humedad_relativa,precipitacion
0,2023-10-05 00:00:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
1,2023-10-05 00:01:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
2,2023-10-05 00:02:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
3,2023-10-05 00:03:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
4,2023-10-05 00:04:01,UdeA Caucasia,Habilitada,26.16667,93,0.00000
5,2023-10-05 00:05:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
6,2023-10-05 00:06:01,UdeA Caucasia,Habilitada,26.16667,93,0.00000
7,2023-10-05 00:07:01,UdeA Caucasia,Habilitada,26.16667,93,0.00000
8,2023-10-05 00:08:01,UdeA Caucasia,Habilitada,26.16667,93,0.00000
9,2023-10-05 00:09:02,UdeA Caucasia,Habilitada,26.16667,93,0.00000
10,2023-10-05 00:10:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
11,2023-10-05 00:11:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
12,2023-10-05 00:12:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
13,2023-10-05 00:13:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
14,2023-10-05 00:14:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
15,2023-10-05 00:15:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
16,2023-10-05 00:16:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
17,2023-10-05 00:17:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
18,2023-10-05 00:18:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
19,2023-10-05 00:19:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
20,2023-10-05 00:20:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
21,2023-10-05 00:21:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
22,2023-10-05 00:22:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
23,2023-10-05 00:23:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
24,2023-10-05 00:24:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
25,2023-10-05 00:25:00,UdeA Caucasia,Habilitada,26.22222,94,0.00000
26,2023-10-05 00:26:00,UdeA Caucasia,Habilitada,26.22222,94,0.00000
27,2023-10-05 00:27:00,UdeA Caucasia,Habilitada,26.16667,94,0.00000
28,2023-10-05 00:28:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
29,2023-10-05 00:29:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
30,2023-10-05 00:30:00,UdeA Caucasia,Habilitada,26.16667,93,0.00000
31,2023-10-05 00:31:00,UdeA Caucasia,Habilitada,26.22222,93,0.00000
32,2023-10-05 00:32:00,UdeA Caucasia,Habilitada,26.22222,94,0.00000
33,2023-10-05 00:33:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
34,2023-10-05 00:34:00,UdeA Caucasia,Habilitada,26.22222,94,0.00000
35,2023-10-05 00:35:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
36,2023-10-05 00:36:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
37,2023-10-05 00:37:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
38,2023-10-05 00:38:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
39,2023-10-05 00:39:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
40,2023-10-05 00:40:00,UdeA Caucasia,Habilitada,26.27778,94,0.00000
