,fecha,nombre_completo,estado,temperatura
0,2023-10-05 00:00:00,UdeA Caucasia,Habilitada,26.16667
1,2023-10-05 00:01:00,UdeA Caucasia,Habilitada,26.16667
2,2023-10-05 00:02:00,UdeA Caucasia,Habilitada,26.16667
3,2023-10-05 00:03:00,UdeA Caucasia,Habilitada,26.16667
4,2023-10-05 00:04:01,UdeA Caucasia,Habilitada,26.16667
5,2023-10-05 00:05:00,UdeA Caucasia,Habilitada,26.16667
6,2023-10-05 00:06:01,UdeA Caucasia,Habilitada,26.16667
7,2023-10-05 00:07:01,UdeA Caucasia,Habilitada,26.16667
8,2023-10-05 00:08:01,UdeA Caucasia,Habilitada,26.16667
9,2023-10-05 00:09:02,UdeA Caucasia,Habilitada,26.16667
10,2023-10-05 00:10:00,UdeA Caucasia,Habilitada,26.16667
11,2023-10-05 00:11:00,UdeA Caucasia,Habilitada,26.16667
12,2023-10-05 00:12:00,UdeA Caucasia,Habilitada,26.16667
13,2023-10-05 00:13:00,UdeA Caucasia,Habilitada,26.16667
14,2023-10-05 00:14:00,UdeA Caucasia,Habilitada,26.16667
15,2023-10-05 00:15:00,UdeA Caucasia,Habilitada,26.16667
16,2023-10-05 00:16:00,UdeA Caucasia,Habilitada,26.16667
17,2023-10-05 00:17:00,UdeA Caucasia,Habilitada,26.16667
18,2023-10-05 00:18:00,UdeA Caucasia,Habilitada,26.16667
19,2023-10-05 00:19:00,UdeA Caucasia,Habilitada,26.16667
20,2023-10-05 00:20:00,UdeA Caucasia,Habilitada,26.16667
21,2023-10-05 00:21:00,UdeA Caucasia,Habilitada,26.16667
22,2023-10-05 00:22:00,UdeA Caucasia,Habilitada,26.16667
23,2023-10-05 00:23:00,UdeA Caucasia,Habilitada,26.16667
24,2023-10-05 00:24:00,UdeA Caucasia,Habilitada,26.16667
25,2023-10-05 00:25:00,UdeA Caucasia,Habilitada,26.22222
26,2023-10-05 00:26:00,UdeA Caucasia,Habilitada,26.22222
27,2023-10-05 00:27:00,UdeA Caucasia,Habilitada,26.16667
28,2023-10-05 00:28:00,UdeA Caucasia,Habilitada,26.16667
29,2023-10-05 00:29:00,UdeA Caucasia,Habilitada,26.16667
30,2023-10-05 00:30:00,UdeA Caucasia,Habilitada,26.16667
31,2023-10-05 00:31:00,UdeA Caucasia,Habilitada,26.22222
32,2023-10-05 00:32:00,UdeA Caucasia,Habilitada,26.22222
33,2023-10-05 00:33:00,UdeA Caucasia,Habilitada,26.27778
34,2023-10-05 00:34:00,UdeA Caucasia,Habilitada,26.22222
35,2023-10-05 00:35:00,UdeA Caucasia,Habilitada,26.27778
36,2023-10-05 00:36:00,UdeA Caucasia,Habilitada,26.27778
37,2023-10-05 00:37:00,UdeA Caucasia,Habilitada,26.27778
38,2023-10-05 00:38:00,UdeA Caucasia,Habilitada,26.27778
39,2023-10-05 00:39:00,UdeA Caucasia,Habilitada,26.27778
40,2023-10-05 00:40:00,UdeA Caucasia,Habilitada,26.27778
41,2023-10-05 00:41:00,UdeA Caucasia,Habilitada,26.27778
42,2023-10-05 00:42:00,UdeA Caucasia,Habilitada,26.27778
43,2023-10-05 00:43:00,UdeA Caucasia,Habilitada,26.27778
44,2023-10-05 00:44:00,UdeA Caucasia,Habilitada,26.27778
45,2023-10-05 00:45:01,UdeA Caucasia,Habilitada,26.27778
46,2023-10-05 00:46:01,UdeA Caucasia,Habilitada,26.22222
47,2023-10-05 00:47:01,UdeA Caucasia,Habilitada,26.22222
48,2023-10-05 00:48:00,UdeA Caucasia,Habilitada,26.22222
49,2023-10-05 00:49:00,UdeA Caucasia,Habilitada,26.16667
50,2023-10-05 00:50:00,UdeA Caucasia,Habilitada,26.16667
51,2023-10-05 00:51:00,UdeA Caucasia,Habilitada,26.16667
52,2023-10-05 00:52:00,UdeA Caucasia,Habilitada,26.16667
53,2023-10-05 00:53:00,UdeA Caucasia,Habilitada,26.16667
54,2023-10-05 00:54:00,UdeA Caucasia,Habilitada,26.16667
55,2023-10-05 00:55:00,UdeA Caucasia,Habilitada,26.16667
56,2023-10-05 00:56:00,UdeA Caucasia,Habilitada,26.16667
57,2023-10-05 00:57:00,UdeA Caucasia,Habilitada,26.16667
58,2023-10-05 00:58:00,UdeA Caucasia,Habilitada,26.16667
59,2023-10-05 00:59:00,UdeA Caucasia,Habilitada,26.16667
60,2023-10-05 01:00:00,UdeA Caucasia,Habilitada,26.16667
61,2023-10-05 01:01:00,UdeA Caucasia,Habilitada,26.16667
62,2023-10-05 01:02:00,UdeA Caucasia,Habilitada,26.16667
63,2023-10-05 01:03:01,UdeA Caucasia,Habilitada,26.16667
64,2023-10-05 01:04:00,UdeA Caucasia,Habilitada,26.16667
65,2023-10-05 01:05:00,UdeA Caucasia,Habilitada,26.11111
66,2023-10-05 01:06:01,UdeA Caucasia,Habilitada,26.16667
67,2023-10-05 01:07:00,UdeA Caucasia,Habilitada,26.11111
68,2023-10-05 01:08:00,UdeA Caucasia,Habilitada,26.11111
69,2023-10-05 01:09:00,UdeA Caucasia,Habilitada,26.11111
70,2023-10-05 01:10:00,UdeA Caucasia,Habilitada,26.11111
71,2023-10-05 01:11:00,UdeA Caucasia,Habilitada,26.11111
72,2023-10-05 01:12:00,UdeA Caucasia,Habilitada,26.11111
73,2023-10-05 01:13:00,UdeA Caucasia,Habilitada,26.05556
74,2023-10-05 01:14:00,UdeA Caucasia,Habilitada,26.11111
75,2023-10-05 01:15:00,UdeA Caucasia,Habilitada,26.11111
76,2023-10-05 01:16:00,UdeA Caucasia,Habilitada,26.11111
77,2023-10-05 01:17:00,UdeA Caucasia,Habilitada,26.11111
78,2023-10-05 01:18:00,UdeA Caucasia,Habilitada,26.05556
79,2023-10-05 01:19:00,UdeA Caucasia,Habilitada,26.05556
80,2023-10-05 01:20:00,UdeA Caucasia,Habilitada,26.05556
81,2023-10-05 01:21:00,UdeA Caucasia,Habilitada,26.05556
82,2023-10-05 01:22:00,UdeA Caucasia,Habilitada,26.05556
83,2023-10-05 01:23:00,UdeA Caucasia,Habilitada,26.05556
84,2023-10-05 01:24:00,UdeA Caucasia,Habilitada,26.05556
85,2023-10-05 01:25:00,UdeA Caucasia,Habilitada,26.05556
86,2023-10-05 01:26:00,UdeA Caucasia,Habilitada,26.05556
87,2023-10-05 01:27:00,UdeA Caucasia,Habilitada,26.05556
88,2023-10-05 01:28:00,UdeA Caucasia,Habilitada,26.05556
89,2023-10-05 01:29:00,UdeA Caucasia,Habilitada,26.05556
90,2023-10-05 01:30:00,UdeA Caucasia,Habilitada,26.05556
91,2023-10-05 01:31:00,UdeA Caucasia,Habilitada,26.05556
92,2023-10-05 01:32:00,UdeA Caucasia,Habilitada,26.00000
93,2023-10-05 01:33:00,UdeA Caucasia,Habilitada,26.00000
94,2023-10-05 01:34:00,UdeA Caucasia,Habilitada,26.05556
95,2023-10-05 01:35:00,UdeA Caucasia,Habilitada,26.00000
96,2023-10-05 01:36:00,UdeA Caucasia,Habilitada,25.94444
97,2023-10-05 01:37:00,UdeA Caucasia,Habilitada,26.00000
98,2023-10-05 01:38:00,UdeA Caucasia,Habilitada,25.94444
99,2023-10-05 01:39:00,UdeA Caucasia,Habilitada,26.00000
100,2023-10-05 01:40:00,UdeA Caucasia,Habilitada,25.94444
101,2023-10-05 01:41:00,UdeA Caucasia,Habilitada,25.94444
102,2023-10-05 01:42:00,UdeA Caucasia,Habilitada,25.94444
103,2023-10-05 01:43:01,UdeA Caucasia,Habilitada,25.94444
104,2023-10-05 01:44:01,UdeA Caucasia,Habilitada,25.94444
105,2023-10-05 01:45:01,UdeA Caucasia,Habilitada,25.94444
106,2023-10-05 01:46:01,UdeA Caucasia,Habilitada,25.94444
107,2023-10-05 01:47:00,UdeA Caucasia,Habilitada,25.94444
108,2023-10-05 01:48:00,UdeA Caucasia,Habilitada,25.94444
